Month,Soil_Type,Recommended_Crop
June,Neutral (Loamy),Rice
June,Alkaline (Clayey),Rice
June,Acidic (Sandy),Rice
July,Neutral (Loamy),Rice
July,Alkaline (Clayey),Rice
July,Acidic (Sandy),Rice
August,Neutral (Loamy),Rice
August,Alkaline (Clayey),Rice
August,Acidic (Sandy),Rice
May,Neutral (Loamy),Maize
June,Neutral (Loamy),Maize
July,Neutral (Loamy),Maize
October,Neutral (Loamy),Chickpea
October,Alkaline (Clayey),Chickpea
November,Neutral (Loamy),Chickpea
November,Alkaline (Clayey),Chickpea
December,Neutral (Loamy),Chickpea
December,Alkaline (Clayey),Chickpea
March,Neutral (Loamy),Kidneybeans
April,Neutral (Loamy),Kidneybeans
May,Neutral (Loamy),Kidneybeans
June,Neutral (Loamy),Pigeonpeas
June,Acidic (Sandy),Pigeonpeas
July,Neutral (Loamy),Pigeonpeas
July,Acidic (Sandy),Pigeonpeas
August,Neutral (Loamy),Pigeonpeas
August,Acidic (Sandy),Pigeonpeas
July,Acidic (Sandy),Mothbeans
July,Alkaline (Clayey),Mothbeans
July,Neutral (Loamy),Mothbeans
August,Acidic (Sandy),Mothbeans
August,Alkaline (Clayey),Mothbeans
August,Neutral (Loamy),Mothbeans
September,Acidic (Sandy),Mothbeans
September,Alkaline (Clayey),Mothbeans
September,Neutral (Loamy),Mothbeans
March,Neutral (Loamy),Mungbean
April,Neutral (Loamy),Mungbean
May,Neutral (Loamy),Mungbean
June,Neutral (Loamy),Blackgram
June,Alkaline (Clayey),Blackgram
July,Neutral (Loamy),Blackgram
July,Alkaline (Clayey),Blackgram
August,Neutral (Loamy),Blackgram
August,Alkaline (Clayey),Blackgram
November,Alkaline (Clayey),Lentil
November,Neutral (Loamy),Lentil
December,Alkaline (Clayey),Lentil
December,Neutral (Loamy),Lentil
January,Alkaline (Clayey),Lentil
January,Neutral (Loamy),Lentil
February,Neutral (Loamy),Pomegranate
March,Neutral (Loamy),Pomegranate
April,Neutral (Loamy),Pomegranate
All Year,Neutral (Loamy),Banana
December,Neutral (Loamy),Mango
December,Acidic (Sandy),Mango
January,Neutral (Loamy),Mango
January,Acidic (Sandy),Mango
February,Neutral (Loamy),Mango
February,Acidic (Sandy),Mango
January,Neutral (Loamy),Grapes
February,Neutral (Loamy),Grapes
March,Neutral (Loamy),Grapes
March,Neutral (Loamy),Watermelon
April,Neutral (Loamy),Watermelon
May,Neutral (Loamy),Watermelon
February,Neutral (Loamy),Muskmelon
March,Neutral (Loamy),Muskmelon
April,Neutral (Loamy),Muskmelon
October,Neutral (Loamy),Apple
November,Neutral (Loamy),Apple
December,Neutral (Loamy),Apple
July,Neutral (Loamy),Orange
July,Alkaline (Clayey),Orange
August,Neutral (Loamy),Orange
August,Alkaline (Clayey),Orange
September,Neutral (Loamy),Orange
September,Alkaline (Clayey),Orange
All Year,Neutral (Loamy),Papaya
All Year,Neutral (Loamy),Coconut
April,Neutral (Loamy),Cotton
April,Alkaline (Clayey),Cotton
May,Neutral (Loamy),Cotton
May,Alkaline (Clayey),Cotton
June,Neutral (Loamy),Cotton
June,Alkaline (Clayey),Cotton
March,Neutral (Loamy),Jute
April,Neutral (Loamy),Jute
May,Neutral (Loamy),Jute
September,Neutral (Loamy),Coffee
October,Neutral (Loamy),Coffee
November,Neutral (Loamy),Coffee
